"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","Ortsteil","id"
"Gymnasium Kronshagen","","","Kronshagen","Schleswig Holstein","Programm","","Be smart - don't Start","","4"
"Gemeinschaftsschule Hassee","","","Kiel","Schleswig Holstein","Programm","","Be smart - don't Start","","68"
"Wilhelm-Kraft-Gesamtschule","","","Sprockhövel","Nordrhein Westphalen","Programm","","Be smart - don't Start","","7"
"Kooperative Gesamtschule","","","Bad Münder","Niedersachsen","Programm","","Be smart - don't Start","","5"
"Wolfgang-Borchert-Gymnasium","","","Halstenbek","Schleswig Holstein","Programm","","Be smart - don't Start","","4"
"Realschule plus Saarburg","","","Saarburg","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Gymnasium Schwarzenbek","","","Schwarzenbek","Schleswig Holstein","Programm","","Be smart - don't Start","","4"
"Molitoris-Schule","","","Harsum","Niedersachsen","Programm","","Be smart - don't Start","","3"
"Priv. Wirtschaftsschule Kasberger-Wildmann","","","Straubing","Bayern","Programm","","Be smart - don't Start","","24"
"Städt. Gesamtschule","","","Gummersbach","Nordrhein Westphalen","Programm","","Be smart - don't Start","","24"
"Realschule Fahrn","","","Duisburg","Nordrhein Westphalen","Programm","","Be smart - don't Start","","149"
"Georg-Büchner-Schule","","","Rodgau","Hessen","Programm","","Be smart - don't Start","","0"
"Ludgerus-Schule","","","Vechta","Niedersachsen","Programm","","Be smart - don't Start","","20"
"Käthe-Kollwitz-Schule","","","Bruchsal","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gymnasium Gommern","","","Gommern","Sachsen Anhalt","Programm","","Be smart - don't Start","","3"
"Grund- und Oberschule","","","Rethem (Aller)","Niedersachsen","Programm","","Be smart - don't Start","","1"
"Schule am Schiffsthal","","","Plön","Schleswig Holstein","Programm","","Be smart - don't Start","","10"
"Einstein-Gymnasium","","","Potsdam","Brandenburg","Programm","","Be smart - don't Start","","78"
"Gottfried-Kinkel-Schule","","","Erftstadt","Nordrhein Westphalen","Programm","","Be smart - don't Start","","13"
"Mariengymnasium","","","Warendorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","20"
"Goethe-Grundschule Hohenleipisch-Plessa","","","Plessa","Brandenburg","Programm","","Be smart - don't Start","","1"
"Geschwister-Scholl-Oberschule","","","Schönheide","Sachsen","Programm","","Be smart - don't Start","","1"
"Karl-Erhard-Scheufelen-Werkrealschule","","","Lenningen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gemeinschaftsschule","","","Marpingen","Saarland","Programm","","Be smart - don't Start","","0"
"Gymnasium Fridericianum","","","Rudolstadt","Thüringen","Programm","","Be smart - don't Start","","9"
"Gebrüder-Humboldt-Schule","","","Wedel","Schleswig Holstein","Programm","","Be smart - don't Start","","8"
"Rhönschule Gersfeld","","","Gersfeld","Hessen","Programm","","Be smart - don't Start","","0"
"Gymnasium Hittfeld","","","Seevetal","Niedersachsen","Programm","","Be smart - don't Start","","11"
"Hermann-Hesse-Realschule","","","Göppingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Baltic-Schule","","","Lübeck","Schleswig Holstein","Programm","","Be smart - don't Start","","59"
"Oberschule Bockenem","","","Bockenem","Niedersachsen","Programm","","Be smart - don't Start","","3"
"Imma-Mack-Realschule","","","Eching","Bayern","Programm","","Be smart - don't Start","","4"
"Realschule Salzgitter-Bad","","","Salzgitter","Niedersachsen","Programm","","Be smart - don't Start","","36"
"Montessori-Schule","","","Osnabrück","Niedersachsen","Programm","","Be smart - don't Start","","76"
"Gymnasium Franziskaneum","","","Meißen","Sachsen","Programm","","Be smart - don't Start","","24"
"Helene-Lange-Schule","","","Oldenburg","Niedersachsen","Programm","","Be smart - don't Start","","75"
"Eichenschule","","","Scheeßel","Niedersachsen","Programm","","Be smart - don't Start","","6"
"Stadtteilschule Mümmelmannsberg","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Gesamtschule Hardt","","","Mönchengladbach","Nordrhein Westphalen","Programm","","Be smart - don't Start","","77"
"Friedrich-Ebert-Schule","","","Hürth","Nordrhein Westphalen","Programm","","Be smart - don't Start","","19"
"Hölderlin-Gymnasium","","","Stuttgart","Baden-Württemberg","Programm","","Be smart - don't Start","","3"
"Kooperative Gesamtschule Großefehn","","","Großefehn","Niedersachsen","Programm","","Be smart - don't Start","","6"
"Waldorfschule Potsdam","","","Potsdam","Brandenburg","Programm","","Be smart - don't Start","","78"
"Marienschule","","","Brilon","Nordrhein Westphalen","Programm","","Be smart - don't Start","","12"
"Integrierte Gesamtschule Rodenberg","","","Rodenberg","Niedersachsen","Programm","","Be smart - don't Start","","3"
"Pfaffenwinkel-Realschule","","","Schongau","Bayern","Programm","","Be smart - don't Start","","6"
"Städt. Heinrich-Heine-Gymnasium","","","Mettmann","Nordrhein Westphalen","Programm","","Be smart - don't Start","","12"
"Ulf-Merbold-Gymnasium","","","Greiz","Thüringen","Programm","","Be smart - don't Start","","15"
"Burg-Gymnasium","","","Bad Bentheim","Niedersachsen","Programm","","Be smart - don't Start","","7"
"Realschule Kerpen","","","Kerpen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","21"
"Uhlenhorst-Grundschule","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Gymnasium Am Geroweiher","","","Mönchengladbach","Nordrhein Westphalen","Programm","","Be smart - don't Start","","77"
"Städt. Realschule Kevelaer","","","Kevelaer","Nordrhein Westphalen","Programm","","Be smart - don't Start","","9"
"Schwarzachtal-Mittelschule","","","Berg b.Neumarkt i.d.OPf.","Bayern","Programm","","Be smart - don't Start","","0"
"Oberschule Jesteburg","","","Jesteburg","Niedersachsen","Programm","","Be smart - don't Start","","2"
"Niels-Stensen-Gymnasium","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Gymnasium Pegnitz","","","Pegnitz","Bayern","Programm","","Be smart - don't Start","","5"
"Maria-Ward-Schule","","","Neuburg","Bayern","Programm","","Be smart - don't Start","","20"
"Schwarzwaldschule","","","Appenweier","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Cusanus-Gymnasium","","","Erkelenz","Nordrhein Westphalen","Programm","","Be smart - don't Start","","13"
"Pestalozzi-Gymnasium","","","Unna","Nordrhein Westphalen","Programm","","Be smart - don't Start","","25"
"Teamschule Drensteinfurt","","","Drensteinfurt","Nordrhein Westphalen","Programm","","Be smart - don't Start","","7"
"Waldschule Lauchhammer-Ost","","","Lauchhammer","Brandenburg","Programm","","Be smart - don't Start","","8"
"Priv. Gymnasium St. Christophorus","","","Werne","Nordrhein Westphalen","Programm","","Be smart - don't Start","","38"
"Leibniz-Realschule","","","Wolfenbüttel","Niedersachsen","Programm","","Be smart - don't Start","","25"
"Albert-Schweitzer-Gymnasium","","","Gernsbach","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Graf-Wilhelm-Schule","","","Wunstorf","Niedersachsen","Programm","","Be smart - don't Start","","23"
"Robert-Bosch-Gymnasium","","","Langenau","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Moser-Schule","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Gesamtschule Gronau","","","Gronau","Nordrhein Westphalen","Programm","","Be smart - don't Start","","20"
"Wieland-Gymnasium","","","Biberach an der Riss","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"2. Gesamtschule Herzogenrath","","","Herzogenrath","Nordrhein Westphalen","Programm","","Be smart - don't Start","","16"
"Franziskus-Gymnasium","","","Mutlangen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Schule St. Josef","","","Schwäbisch Gmünd","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Städtisches Gymnasium","","","Wuppertal","Nordrhein Westphalen","Programm","","Be smart - don't Start","","110"
"Dalberg-Mittelschule","","","Aschaffenburg","Bayern","Programm","","Be smart - don't Start","","31"
"Salza-Gymnasium Bad Langensalza","","","Bad Langensalza","Thüringen","Programm","","Be smart - don't Start","","10"
"Hittorf-Gymnasium","","","Recklinghausen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","36"
"Städt. Gymnasium Gütersloh","","","Gütersloh","Nordrhein Westphalen","Programm","","Be smart - don't Start","","37"
"Freiherr-vom-Stein-Realschule","","","Düsseldorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","179"
"Sekundarschule Roxel","","","Münster","Nordrhein Westphalen","Programm","","Be smart - don't Start","","122"
"Neunlinden-Schule","","","Ihringen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Carl-Engler-Schule","","","Hemsbach","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Realschule St. Georgen","","","St. Georgen im Schwarzwald","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Sachsenwaldschule","","","Reinbek","Schleswig Holstein","Programm","","Be smart - don't Start","","8"
"G.-W.-Pfingsten-Schule","","","Schleswig","Schleswig Holstein","Programm","","Be smart - don't Start","","17"
"Brückenschule Aschara","","","Bad Langensalza","Thüringen","Programm","","Be smart - don't Start","","10"
"Mittelschule Wildflecken","","","Wildflecken","Bayern","Programm","","Be smart - don't Start","","0"
"Schloß-Schule","","","Kirchberg an der Jagst","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Louise-von-Rothschild-Schule","","","Frankfurt a. M.","Hessen","Programm","","Be smart - don't Start","","0"
"Weinhold-Oberschule","","","Reichenbach im Vogtland","Sachsen","Programm","","Be smart - don't Start","","18"
"Mittelschule Mitterfels","","","Mitterfels","Bayern","Programm","","Be smart - don't Start","","1"
"Katholische Schule St. Paulus","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Bürgerschule","","","Sonneberg","Thüringen","Programm","","Be smart - don't Start","","12"
"Grundschule an der Mühle","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Oberschule In den Sandwehen","","","Bremen","Bremen","Programm","","Be smart - don't Start","","175"
"Bischöfliche Willigis Realschule","","","Mainz","Rheinland Pfalz","Programm","","Be smart - don't Start","","3"
"Ludwig-Uhland-Schule","","","Birkenfeld","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Pirckheimer-Gymnasium","","","Nürnberg","Bayern","Programm","","Be smart - don't Start","","138"
"Johannes-Still-Schule","","","Eggenfelden","Bayern","Programm","","Be smart - don't Start","","9"
"Kardinal-von-Galen-Gesamtschule","","","Nordwalde","Nordrhein Westphalen","Programm","","Be smart - don't Start","","3"
"Realschule West Delmenhorst","","","Delmenhorst","Niedersachsen","Programm","","Be smart - don't Start","","29"
"Hermann-Tast-Schule","","","Husum","Schleswig Holstein","Programm","","Be smart - don't Start","","12"
"Gymnasium","","","Wilhelmsdorf","Baden-Württemberg","Programm","","Be smart - don't Start","","1"
"Michael-Beheim-Schule","","","Obersulm","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Oberschule Am Luisenhof","","","Nordenham","Niedersachsen","Programm","","Be smart - don't Start","","13"
"Staatliche Realschule Neutraubling","","","Neutraubling","Bayern","Programm","","Be smart - don't Start","","5"
"Integrierte Gesamtschule Paffrath","","","Bergisch Gladbach","Nordrhein Westphalen","Programm","","Be smart - don't Start","","45"
"Oberschule Delitzsch-Nord","","","Delitzsch","Sachsen","Programm","","Be smart - don't Start","","20"
"Liboriusschule","","","Paderborn","Nordrhein Westphalen","Programm","","Be smart - don't Start","","57"
"Kreuzschule","","","Coesfeld","Nordrhein Westphalen","Programm","","Be smart - don't Start","","19"
"Schulzentrum Nord","","","Pinneberg","Schleswig Holstein","Programm","","Be smart - don't Start","","12"
"Marienschule","","","Euskirchen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","24"
"Bertolt-Brecht-Gymnasium","","","Dresden","Sachsen","Programm","","Be smart - don't Start","","297"
"Gymnasium Hochdahl","","","Erkrath","Nordrhein Westphalen","Programm","","Be smart - don't Start","","12"
"Gemeinschaftsschule mit Grundschulteil","","","Mildstedt","Schleswig Holstein","Programm","","Be smart - don't Start","","1"
"Johann-Bendel-Schule","","","Köln","Nordrhein Westphalen","Programm","","Be smart - don't Start","","324"
"Städt. Gymnasium Vohwinkel","","","Wuppertal","Nordrhein Westphalen","Programm","","Be smart - don't Start","","110"
"Ruwertalschule","","","Waldrach","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Hermann-Neuton-Paulsen-Schule","","","Pellworm","Schleswig Holstein","Programm","","Be smart - don't Start","","2"
"Heinrich-von-Stephan-Schule","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Marie-Curie-Realschule","","","Bottrop","Nordrhein Westphalen","Programm","","Be smart - don't Start","","35"
"Johann-Gutenberg-Schule","","","Bremen","Bremen","Programm","","Be smart - don't Start","","175"
"Gotthold-Ephraim-Lessing-Gymnasium","","","Kamenz","Sachsen","Programm","","Be smart - don't Start","","20"
"Manzenbergschule","","","Tettnang","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Oberschule Malschwitz","","","Malschwitz","Sachsen","Programm","","Be smart - don't Start","","3"
"Montanus-Realschule","","","Leverkusen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","46"
"Wolfgang-Kubelka-Realschule","","","Schondorf","Bayern","Programm","","Be smart - don't Start","","4"
"Priv. Freie Waldorfschule","","","Bonn","Nordrhein Westphalen","Programm","","Be smart - don't Start","","112"
"Gymnasium Nied","","","Frankfurt a. M.","Hessen","Programm","","Be smart - don't Start","","0"
"Mittelschule Herrenbach","","","Augsburg","Bayern","Programm","","Be smart - don't Start","","83"
"Erich-Klausener-Schule","","","Dorsten","Nordrhein Westphalen","Programm","","Be smart - don't Start","","24"
"Oberschule Freital-Potschappel","","","Freital","Sachsen","Programm","","Be smart - don't Start","","21"
"Städt. Realschule Bretzelnweg","","","Düren","Nordrhein Westphalen","Programm","","Be smart - don't Start","","39"
"Burger Roland-Gymnasium","","","Burg","Sachsen Anhalt","Programm","","Be smart - don't Start","","196"
"Störtebeker-Schule","","","Rostock","Mecklenburg-Vorpommern","Programm","","Be smart - don't Start","","45"
"Hans-Jonas-Gesamtschule Neuwerk","","","Mönchengladbach","Nordrhein Westphalen","Programm","","Be smart - don't Start","","77"
"Mittelschule Thusneldastraße","","","Nürnberg","Bayern","Programm","","Be smart - don't Start","","138"
"Mariengymnasium","","","Papenburg","Niedersachsen","Programm","","Be smart - don't Start","","18"
"Realschule Voerde","","","Voerde (Niederrhein)","Nordrhein Westphalen","Programm","","Be smart - don't Start","","9"
"Gesamtschule Konradsdorf","","","Ortenberg","Hessen","Programm","","Be smart - don't Start","","0"
"Mittelschule Kühbach","","","Kühbach","Bayern","Programm","","Be smart - don't Start","","1"
"Ernst-Barlach-Gymnasium","","","Kiel","Schleswig Holstein","Programm","","Be smart - don't Start","","68"
"Städt. Josef-Albers-Gymnasium","","","Bottrop","Nordrhein Westphalen","Programm","","Be smart - don't Start","","35"
"Mittelschule Wilhermsdorf","","","Wilhermsdorf","Bayern","Programm","","Be smart - don't Start","","1"
"Realschule Lindlar","","","Lindlar","Nordrhein Westphalen","Programm","","Be smart - don't Start","","9"
"Staatl. Realschule Kösching","","","Kösching","Bayern","Programm","","Be smart - don't Start","","3"
"Albert-Schweitzer-Gymnasium","","","Hürth","Nordrhein Westphalen","Programm","","Be smart - don't Start","","19"
"Städt. Realschule Aurich","","","Aurich","Niedersachsen","Programm","","Be smart - don't Start","","26"
"Wirtschaftsschule","","","Ingolstadt","Bayern","Programm","","Be smart - don't Start","","38"
"Gymnasium Überlingen","","","Überlingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Realschule","","","Wilnsdorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","8"
"Gymnasium Gadebusch","","","Gadebusch","Mecklenburg-Vorpommern","Programm","","Be smart - don't Start","Lehe","4"
"Städt. Gymnasium Am Kothen","","","Wuppertal","Nordrhein Westphalen","Programm","","Be smart - don't Start","Hemelingen","110"
"Goethegymnasium","","","Hildesheim","Niedersachsen","Programm","","Be smart - don't Start","Vahr","55"
"Europaschule Krupp-Gymnasium","","","Duisburg","Nordrhein Westphalen","Programm","","Be smart - don't Start","Bremerhaven","149"
"Dr.-Wintrich-Schule","","","Ebersberg","Bayern","Programm","","Be smart - don't Start","Blumenthal","4"
"Gemeinschaftsschule Lauda","","","Lauda-Königshofen","Baden-Württemberg","Programm","","Be smart - don't Start","Leherheide","0"
"St. Michael-Gymnasium","","","Monschau","Nordrhein Westphalen","Programm","","Be smart - don't Start","Geestemünde","7"
"Gesamtschule Reichshof","","","Reichshof","Nordrhein Westphalen","Programm","","Be smart - don't Start","Sebaldsbrück","9"
"Grundschule ""Robert Koch""","","","Niemegk","Brandenburg","Programm","","Be smart - don't Start","Wulsdorf","1"
"Rainald-von-Dassel-Schule","","","Dassel","Niedersachsen","Programm","","Be smart - don't Start","Horn","4"
"Haupt- und Realschule Kreiensen","","","Einbeck","Niedersachsen","Programm","","Be smart - don't Start","Oberneuland","14"
"Gymnasium Hummelsbüttel","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","Blumenthal","422"
"Staatliche Regelschule An der Nesse","","","Molschleben","Thüringen","Programm","","Be smart - don't Start","Bremerhaven","1"
"Werkrealschule am Ilben","","","Furtwangen im Schwarzwald","Baden-Württemberg","Programm","","Be smart - don't Start","Bremerhaven","0"
"Priv. Bischöfl. Willigis-Gymnasium","","","Mainz","Rheinland Pfalz","Programm","","Be smart - don't Start","Mitte","3"
"Langenstein-Schule","","","Waldshut-Tiengen","Baden-Württemberg","Programm","","Be smart - don't Start","Gröpelingen","0"
"Jugenddorf-Christophorus-Gymnasium","","","Königswinter","Nordrhein Westphalen","Programm","","Be smart - don't Start","Mitte","15"
"Gymnasium ""Oskar Picht""","","","Pasewalk","Mecklenburg-Vorpommern","Programm","","Be smart - don't Start","Lehe","4"
"Johann-Heinrich-Pestalozzi-Schule","","","Brandenburg an der Havel","Brandenburg","Programm","","Be smart - don't Start","Ellener Feld","26"
"Internatsschule Hadmersleben - Gymnasium","","","Oschersleben (Bode)","Sachsen Anhalt","Programm","","Be smart - don't Start","Walle","13"
"Städt. Heinrich-Heine-Gymnasium","","","Köln","Nordrhein Westphalen","Programm","","Be smart - don't Start","Geestemünde","324"
"Weser-Sekundarschule","","","Vlotho","Nordrhein Westphalen","Programm","","Be smart - don't Start","Östliche Vorstadt","7"
"Förderschule (LB) ""Pestalozzi""","","","Wernigerode","Sachsen Anhalt","Programm","","Be smart - don't Start","Horn","15"
"Mittelschule Johann-Schmid-Straße","","","Unterschleißheim","Bayern","Programm","","Be smart - don't Start","Leherheide","10"
"Börde-Gymnasium","","","Wanzleben-Börde","Sachsen Anhalt","Programm","","Be smart - don't Start","Bahnhofsvorstadt","7"
"Wilhelm-Keil-Schule","","","Remseck am Neckar","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Schule Mosel","","","Zwickau","Sachsen","Programm","","Be smart - don't Start","","66"
"Schule am Alten Postweg","","","Hemmoor","Niedersachsen","Programm","","Be smart - don't Start","","5"
"Friedrich-Engels-Gymnasium","","","Senftenberg","Brandenburg","Programm","","Be smart - don't Start","","18"
"Realschule Bopfingen","","","Bopfingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Schule Finowfurt","","","Schorfheide/OT Finowfurt","Brandenburg","Programm","","Be smart - don't Start","","1"
"Gymnasium Petrinum","","","Brilon","Nordrhein Westphalen","Programm","","Be smart - don't Start","","12"
"Martin-Luther-Schule","","","Hamm","Nordrhein Westphalen","Programm","","Be smart - don't Start","","99"
"Bildungszentrum Gerstetter Alb","","","Gerstetten","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Copernicus-Gymnasium","","","Löningen","Niedersachsen","Programm","","Be smart - don't Start","","8"
"Fasia-Jansen-Gesamtschule","","","Oberhausen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","55"
"Paul-Gerhardt-Gymnasium","","","Gräfenhainichen","Sachsen Anhalt","Programm","","Be smart - don't Start","","7"
"Gymnasium Allee","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Gesamtschule Melsungen","","","Melsungen","Hessen","Programm","","Be smart - don't Start","","0"
"Franz-Ludwig-von-Erthal-Gymnasium","","","Lohr","Bayern","Programm","","Be smart - don't Start","","11"
"Kocherburgschule","","","Aalen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Markgraf-Georg-Friedrich-Gymnasium","","","Kulmbach","Bayern","Programm","","Be smart - don't Start","","16"
"Gemeinschaftsschule am Marschweg","","","Kaltenkirchen","Schleswig Holstein","Programm","","Be smart - don't Start","","8"
"Städt. Realschule Hückeswagen","","","Hückeswagen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","6"
"Gesamtschule Freudenberg","","","Freudenberg","Nordrhein Westphalen","Programm","","Be smart - don't Start","","11"
"Schule am Waldblick","","","Blankenfelde-Mahlow/OT Mahlow","Brandenburg","Programm","","Be smart - don't Start","","3"
"Staatliche Wirtschaftsschule","","","Bad Windsheim","Bayern","Programm","","Be smart - don't Start","","9"
"Integrierte Gesamtschule ""Regine Hildebrandt""","","","Magdeburg","Sachsen Anhalt","Programm","","Be smart - don't Start","","87"
"Sekundarschule Borchen","","","Borchen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","6"
"Max-Beckmann-Schule","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"Immanuel-Kant-Gymnasium","","","Heiligenhaus","Nordrhein Westphalen","Programm","","Be smart - don't Start","","8"
"Realschule Niederpleis","","","Sankt Augustin","Nordrhein Westphalen","Programm","","Be smart - don't Start","","19"
"Schule am Burgfeld","","","Bad Segeberg","Schleswig Holstein","Programm","","Be smart - don't Start","","9"
"Roswitha-Gymnasium","","","Bad Gandersheim","Niedersachsen","Programm","","Be smart - don't Start","","5"
"Bismarck-Gymnasium","","","Genthin","Sachsen Anhalt","Programm","","Be smart - don't Start","","7"
"Albert-Schweitzer-Schule","","","Solingen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","45"
"UNESCO-Schule Kamp-Lintfort","","","Kamp-Lintfort","Nordrhein Westphalen","Programm","","Be smart - don't Start","","9"
"Staatliche Regelschule Werratal","","","Bad Salzungen","Thüringen","Programm","","Be smart - don't Start","","9"
"Städt. Gymnasium Olpe","","","Olpe","Nordrhein Westphalen","Programm","","Be smart - don't Start","","21"
"Geschwister-Scholl-Realschule","","","Münster","Nordrhein Westphalen","Programm","","Be smart - don't Start","","122"
"Louise-Henriette-Gymnasium","","","Oranienburg","Brandenburg","Programm","","Be smart - don't Start","","22"
"Gemeinschaftsschule  ""G. W.  Leibniz""","","","Wolmirstedt","Sachsen Anhalt","Programm","","Be smart - don't Start","","6"
"Main-Limes-Realschule","","","Obernburg","Bayern","Programm","","Be smart - don't Start","","5"
"Int. Gesamtschule Betzdorf-Kirchen","","","Betzdorf","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Grundschule Prösen","","","Röderland/OT Prösen","Brandenburg","Programm","","Be smart - don't Start","","2"
"St.-Angela-Schule","","","Königstein","Hessen","Programm","","Be smart - don't Start","","6"
"Konrad-Widerholt-Schule","","","Kirchheim unter Teck","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Katholische Schule Neugraben","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Luisen-Gymnasium Bergedorf","","","Hamburg","Hamburg","Programm","","Be smart - don't Start","","422"
"Gemeinschaftsschule Mönchweiler","","","Mönchweiler","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gymnasium Landschulheim Schloß Heessen","","","Hamm","Nordrhein Westphalen","Programm","","Be smart - don't Start","","99"
"Moscherosch-Schule","","","Willstätt","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Hildegard-von-Bingen-Gymnasium","","","Twistringen","Niedersachsen","Programm","","Be smart - don't Start","","4"
"Arnold-von-Harff-Schule","","","Bedburg","Nordrhein Westphalen","Programm","","Be smart - don't Start","","11"
"Staatliches Angergymnasium","","","Jena","Thüringen","Programm","","Be smart - don't Start","","38"
"Regino-Gymnasium","","","Prüm","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Gemeinschaftsschule am Schillerpark","","","Esslingen am Neckar","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Max-Ernst-Gymnasium","","","Brühl","Nordrhein Westphalen","Programm","","Be smart - don't Start","","26"
"Johannes-Wagner-Schule","","","Nürtingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gesamtschule Fuldatal","","","Fuldatal","Hessen","Programm","","Be smart - don't Start","","0"
"Friderico-Francisceum-Gymnasium","","","Bad Doberan","Mecklenburg-Vorpommern","Programm","","Be smart - don't Start","","6"
"Herman-Nohl-Schule","","","Haßloch","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Mittelschule Windischeschenbach","","","Windischeschenbach","Bayern","Programm","","Be smart - don't Start","","1"
"Albertus-Gymnasium","","","Lauingen","Bayern","Programm","","Be smart - don't Start","","4"
"Gregor-Mendel-Gymnasium","","","Amberg","Bayern","Programm","","Be smart - don't Start","","22"
"Gustav-Heinemann-Schule","","","Münsingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Gymnasium Stein","","","Stein","Bayern","Programm","","Be smart - don't Start","","169"
"Oberschule Niederwiesa","","","Niederwiesa","Sachsen","Programm","","Be smart - don't Start","","2"
"Schule GHS Bernburger Straße","","","Düsseldorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","179"
"Städtische Realschule Golzheim","","","Düsseldorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","179"
"Gebhard-Schule","","","Konstanz","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Realschule plus Kirn","","","Kirn","Rheinland Pfalz","Programm","","Be smart - don't Start","","0"
"Oberschule am Sonnensee","","","Bissendorf","Niedersachsen","Programm","","Be smart - don't Start","","5"
"Gem. Hauptschule Hellenthal","","","Hellenthal","Nordrhein Westphalen","Programm","","Be smart - don't Start","","2"
"Ferdinand-Sauerbruch-Gymnasium","","","Großröhrsdorf","Sachsen","Programm","","Be smart - don't Start","","7"
"Armin-Knab-Gymnasium","","","Kitzingen","Bayern","Programm","","Be smart - don't Start","","11"
"Johann-Riederer-Schule","","","Hauzenberg","Bayern","Programm","","Be smart - don't Start","","7"
"Gymnasium Schenefeld","","","Schenefeld","Schleswig Holstein","Programm","","Be smart - don't Start","","6"
"Pestalozzi-Oberschule","","","Zwickau","Sachsen","Programm","","Be smart - don't Start","","66"
"Integrierte Gesamtschule Wilhelmshaven","","","Wilhelmshaven","Niedersachsen","Programm","","Be smart - don't Start","","21"
"Realschule plus Lauterecken/Wolfstein","","","Wolfstein","Rheinland Pfalz","Programm","","Be smart - don't Start","","1"
"Gustav-Schönleber-Schule","","","Bietigheim-Bissingen","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Clara-Schumann-Gymnasium","","","Viersen","Nordrhein Westphalen","Programm","","Be smart - don't Start","","25"
"Städt. Gymnasium Koblenzer Straße","","","Düsseldorf","Nordrhein Westphalen","Programm","","Be smart - don't Start","","179"
"Andreas-Oberschule","","","Berlin","Berlin","Programm","","Be smart - don't Start","","1305"
"St. Pius-Gymnasium","","","Coesfeld","Nordrhein Westphalen","Programm","","Be smart - don't Start","","19"
"Friedrich-Ludwig-Jahn-Gymnasium","","","Forst (Lausitz)","Brandenburg","Programm","","Be smart - don't Start","","11"
"Heil- und Erziehungsinstitut Sonnenhalde","","","Görwihl","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
"Luther-Melanchthon-Gymnasium","","","Wittenberg","Sachsen Anhalt","Programm","","Be smart - don't Start","","32"
"Realschule","","","Oberndorf am Neckar","Baden-Württemberg","Programm","","Be smart - don't Start","","0"
